dates,B6,C2,C1,B4,B5,A1,A2,B1,B2,B3
2001-01-11 16:06:37+00:00,477.546209036807,424.6578991535604,449.9299247942891,527.9582401412563,508.6464403093655,580.5640864814865,564.6355209619148,541.1254935149867,530.4325194958632,525.7997070148592
2001-02-04 15:56:09+00:00,510.1292462628605,436.6886625772828,474.2037253657024,533.985520543087,545.6968377632254,578.5130023721777,575.0754054241531,555.1557732390086,539.0158620839932,530.5855025375158
2001-02-20 15:56:12+00:00,493.5799255193887,420.48210806410674,461.643052387724,520.274655564264,518.9753760793812,575.4165645381923,561.9720493605156,534.0648783879894,527.3874678587799,516.8840320467593
2001-05-11 15:56:19+00:00,468.0933589333091,404.5352712382333,435.7029931707388,499.2846151940645,495.8045706509911,546.0932265371116,537.8679665861966,514.6313658576237,496.8649092647965,494.0089672963442
2001-07-14 15:56:32+00:00,491.64170256761554,435.887561989201,447.0021296162334,526.3601685107925,529.2660272399776,573.562262937094,554.1349433849597,545.0471078440913,517.872103228751,523.0703527513592
2001-10-26 16:04:26+00:00,488.8165594329073,440.8711689552599,446.8788734229754,527.8776316928947,516.0153507573328,580.9511760563998,558.514130583065,544.8620743930089,529.7825879433856,516.2316570048755
2002-02-15 16:05:01+00:00,462.9438018700152,396.3660529380937,443.0948675606908,511.3899763888561,492.8099973741687,569.3801092190283,560.6370907589916,530.0703451337707,513.8065507973042,494.6796429326028
2002-03-19 16:04:53+00:00,486.1113676097742,413.7650142036235,438.529650254801,510.5153700120571,506.41056169852334,572.815116239784,566.6738648970729,539.4717502249866,517.6499263305946,510.2641294394666
2002-04-20 16:04:54+00:00,490.4766403085877,435.3352557636457,452.0325338661213,520.8118407452065,515.9435102308167,568.967290215788,562.1015889548803,544.0440130764417,531.8810017162448,521.9777017852028
2003-02-18 16:04:49+00:00,478.6238179522751,401.0014550139212,436.9293159155701,497.2991831322436,476.611227782005,572.4863279912171,570.5004069338629,527.0243862197839,521.5363309941027,504.88159397515415
2003-03-22 16:04:48+00:00,485.1384344830485,407.8127877316029,435.18382206859457,509.6660418144268,489.3096540035435,574.3513159549457,562.6906554379261,534.2022645149,526.0660713025211,495.80326628035584
2004-01-20 16:05:08+00:00,476.5592436371754,417.8913535085413,444.1258406041621,503.7516056364565,501.9799909672148,563.7305459665697,,,,512.5319389468935
2004-03-24 16:05:25+00:00,480.62119213360745,400.73840362249535,433.4380213021497,501.0580456910737,498.95772860384096,570.6180716319676,553.6064868417086,518.4173765777418,508.2579702920589,491.21493216504393
2004-12-05 16:05:17+00:00,,,,,,570.3257196733623,,,,
2005-02-23 16:05:48+00:00,471.4889650493428,426.6575196277759,451.4640418200676,511.2330809383074,495.61642251770365,586.7276717605225,573.0533677747213,525.9795859257007,517.0032230957545,507.8998815347002
2005-04-12 16:05:43+00:00,476.1562414793377,404.63629602748426,436.5806894342142,498.33909793263774,493.6106695368205,577.7852866632613,548.9760880475299,514.3244321717775,499.0460259735849,498.535196267587
2005-04-28 16:05:43+00:00,479.3681348686448,414.4056116920477,434.5781958152888,494.3252229976888,489.9685758530999,562.774836810394,556.3612362865038,517.1295719520504,499.0922491670746,500.6208645987466
2006-01-09 16:05:58+00:00,467.7639822647048,427.491781146494,448.569104632236,521.936005540252,513.9050636711239,569.3215552779118,562.7638265336249,545.9830294356387,519.6078867929737,516.9011010505566
2006-04-15 16:06:09+00:00,466.6040562433016,387.77620142524034,427.0918013265512,508.99608212863535,502.2340154648497,556.019266896598,545.1468834242994,514.5216304814332,502.4532076499376,487.233425036108
2006-05-17 16:06:12+00:00,,405.2030175790631,432.9710618298212,,,556.783477518853,540.8053169225756,507.1947154913855,499.6138235288744,499.0671529128683
2007-10-03 16:09:04+00:00,436.1529116680352,422.5293251459756,436.87504464338025,496.66806119147736,492.2343346692565,567.0303815544621,547.4121473181178,527.4745244159823,511.0543404075984,500.1359097711367
2007-10-27 16:06:04+00:00,,414.065922017678,434.69228114711,,,,,,497.28965851816287,487.6140158786772
2007-12-14 16:06:26+00:00,440.0892291186265,414.2065969670865,440.2502506997564,497.2942990347851,479.8930293156918,,,,,
2008-04-04 16:06:17+00:00,489.2263335255339,427.9917895696784,440.83744677871607,513.0672740820958,503.6392032962317,566.0213957084995,549.8025886311374,518.6368776795321,519.36709253287,505.2707453956029
2008-04-20 16:06:15+00:00,477.60035413411134,411.1378730569922,433.0759232489118,498.1528042594174,493.1784435360123,559.6718128716809,535.9414369325061,503.9811355382527,500.1637356430866,493.0034152570104
2008-05-06 16:06:11+00:00,475.02788216116704,402.0370567433968,427.1840403142983,485.1567508593465,492.2699913779992,555.6318476935925,533.0279985057623,495.63065415430174,490.6845549580661,492.5195798851257
2008-12-16 16:05:38+00:00,477.4501405383513,408.18982055023423,437.76878939312496,497.7090421765061,505.8637640416393,552.288575566269,538.664104897762,528.9010801615367,524.5405319835392,511.169975909161
2009-01-01 16:05:45+00:00,480.7845128863697,416.7155252183406,441.2980815412975,508.8707864691001,506.7372397453591,557.3852971623464,547.8101583987357,536.4004483299126,523.9863587137597,505.1117619708031
2009-02-02 16:05:55+00:00,497.8108591783609,424.8452223073331,442.48757793444975,523.9775943668876,513.8797244120339,566.1756428308166,562.929988672543,544.6166275081359,532.1559618617512,525.2694284125645
2009-02-18 16:06:05+00:00,498.8986244128108,441.117324155173,463.5900263832365,533.5518460550429,534.8374733663625,580.2827150104431,585.9490678457973,553.8719869490056,540.455407965449,530.1443842305684
2009-03-22 16:06:21+00:00,509.55908434895696,423.00241474397535,443.5158290471812,523.3674120181319,515.3408267459824,573.0975687645005,561.1327608415595,537.5645782847796,530.5022978390913,518.4937817475408
2009-04-07 16:06:27+00:00,498.4027709579248,426.2549150293093,446.7188431253746,517.3220474180706,517.3292550288501,569.4090506894663,559.0583765072142,528.0179662346304,514.7379905613341,509.10605352525016
2010-04-10 16:08:21+00:00,466.7634418067343,423.3434076966852,426.7463061913308,509.8541950789259,510.4247077801485,,,,518.3758517173785,508.7680591359909
2010-05-28 16:08:16+00:00,476.20885066966144,409.0778907440565,433.28667658521886,492.8652712895741,486.44526635162606,560.1330561428656,545.7611386162197,502.42501121971407,493.1684473668251,495.2845496931044
2011-01-07 16:09:22+00:00,461.5621344880792,399.0581145722534,436.9051926282309,491.48331328248014,477.3221020645724,547.3938708908959,541.6068809357299,500.1629960636985,495.91430729497847,488.94796807932426
2011-03-12 16:09:42+00:00,490.88382945792665,413.63696385858,443.87645462641126,509.3080605080528,513.9391877433833,568.2348998279632,550.179862238974,529.0294440696263,514.0308517810114,509.3116336926009
2012-01-10 16:10:10+00:00,472.9705406475204,413.8332547901097,442.1500742419598,501.26412377065327,512.0449191929204,560.2368240240028,533.5533480834456,502.80258450382,501.1947384879376,513.7209889230359
2012-01-26 16:10:08+00:00,480.3623129275656,404.7591911702008,439.5102507059531,505.9851650966508,510.21228146179664,559.9599882343712,531.4029833330661,503.7226506445408,510.175152346734,516.1276394674409
2012-02-27 16:10:16+00:00,482.2583834340932,409.00078825410935,446.96141094226346,502.2847237877679,512.3343836695813,565.0346445687645,541.4123473142853,510.829183833816,501.8725598029657,504.0651881109061
2012-03-14 16:10:15+00:00,488.9605463654098,414.5164308945564,461.9603536549871,511.9828536865916,514.9249717824065,564.8157485263027,555.786164268711,517.8103532682907,510.5100643676418,511.24140923628886
2013-01-28 16:12:21+00:00,459.5701423620844,408.08195750204777,448.8320026226443,504.34658163247553,480.0005853049964,560.9270658900178,560.6517715579934,524.6642295249701,523.3051497370913,508.9871430286095
2013-03-17 16:12:15+00:00,469.53097003201947,405.81614599138,442.3890380397396,505.1496649492159,503.1964096365076,553.0941044905846,545.7548069441686,518.4678893837662,507.0053471668858,509.64778522040814
2013-05-04 16:12:02+00:00,483.9819727077751,426.2060985850651,450.83252518461626,526.5385904196273,522.3776884685087,574.8188601318609,559.4022217545083,533.8547421731771,523.5495863662695,517.6078314101208
2013-05-20 16:12:00+00:00,475.9179637361971,421.3410676619461,435.750026391265,513.4098850147257,513.7244746722412,,,,,
2013-09-17 16:18:06+00:00,460.6836093574904,421.5426250384656,445.1581259255775,517.6576143821053,495.1683945636605,584.9949885388748,558.6089574212413,532.8648002497034,513.0611668463791,511.5620883858092
2013-10-19 16:17:58+00:00,443.488707187492,409.1617832461376,443.3577213985344,490.488238538528,472.2731368648133,566.4657251781251,545.3411264023069,509.2283284791778,485.5780747410829,481.5432145334023
2014-02-08 16:17:05+00:00,490.553850946567,427.0198481144943,453.0260340484626,531.40467625217,519.2342513023516,588.4147672810957,587.9649687222975,552.638531013027,532.4945179091578,523.3036346264946
2014-02-24 16:16:52+00:00,499.7916715221439,433.84474608422784,458.9801135237731,534.1961677631475,525.3886726159282,593.4042858942653,590.3391664711789,561.9231700464057,536.8156459647064,524.7730147494904
2014-03-12 16:16:40+00:00,492.72498543718,,452.2758760754616,524.4267871699682,514.1762327768291,583.6761336372098,584.8010620618306,555.2679634632614,529.021214880862,516.8643835041614
2014-03-28 16:16:22+00:00,497.3657478321246,424.7812435204812,453.8569601113607,523.4343092407187,515.4567329763217,590.0156622304764,586.6832564896399,555.6021388184743,528.0614678460873,524.2790482245057
2014-05-15 16:15:41+00:00,,,,494.6671466812335,,,,,,494.1076000728305
2014-06-16 16:15:51+00:00,453.6358028373385,400.99272029685824,429.4288040974636,484.484469202196,479.9338455530875,557.1721694563792,545.3310928457223,506.2276821667503,485.401962352714,479.7841564510194
2015-01-26 16:16:05+00:00,471.51476851706417,415.0166030931077,449.2155815092022,511.1686892795844,495.33202614918514,572.1203359398285,564.3361401890544,531.4691642308957,512.9369999370833,510.49664401844194
