dates,satname,MNDWI_threshold,cloud_cover,geoaccuracy
2017-01-31 16:16:11+00:00,L8,-0.2402668893779979,0.0,7.328
2017-02-01 16:33:01+00:00,S2,-0.22058244981649383,0.0,PASSED
2017-02-16 16:16:04+00:00,L8,-0.29093205193451566,0.0,5.913
2017-02-21 16:33:49+00:00,S2,-0.29537090251099274,0.0,PASSED
2017-03-03 16:33:00+00:00,S2,-0.4428881818052031,0.0,PASSED
2017-03-04 16:15:58+00:00,L8,-0.23207510712287435,0.0,4.797
2017-03-23 16:33:01+00:00,S2,-0.26475769468608057,0.0,PASSED
2017-04-05 16:15:41+00:00,L8,-0.32086963775855815,0.0,5.301
2017-04-12 16:33:54+00:00,S2,-0.1789105796210489,0.0,PASSED
2017-04-21 16:15:31+00:00,L8,-0.32708397928049937,0.0,5.569
2017-06-01 16:33:54+00:00,S2,-0.3500931538098579,0.0,PASSED
2017-06-08 16:15:48+00:00,L8,-0.22541484781454052,0.2711665443873808,6.574
2017-06-11 16:33:08+00:00,S2,-0.2865629355279171,0.0,PASSED
2017-07-01 16:33:06+00:00,S2,-0.362404917401905,0.0,PASSED
2017-08-25 16:33:31+00:00,S2,-0.24234638926015323,0.110282874617737,PASSED
2017-11-18 16:33:04+00:00,S2,-0.252814777220951,0.010703363914373088,PASSED
2017-11-23 16:33:43+00:00,S2,-0.24837895871339008,0.0,PASSED
2017-12-01 16:16:17+00:00,L8,-0.17985116808389928,0.10887747615553925,5.979
2017-12-28 16:33:01+00:00,S2,-0.3341489478549129,0.0,PASSED
2018-01-12 16:33:47+00:00,S2,-0.42739099047085616,0.0,PASSED
2018-01-17 16:33:48+00:00,S2,-0.43145528340840844,0.0,PASSED
2018-01-18 16:16:10+00:00,L8,-0.2686122082401343,0.0,6.33
2018-01-22 16:33:48+00:00,S2,-0.2693812362279464,0.10792558613659531,PASSED
2018-02-06 16:33:03+00:00,S2,-0.30095871641061,0.0,PASSED
2018-02-11 16:33:00+00:00,S2,-0.26290473354594024,0.0,PASSED
2018-02-21 16:33:47+00:00,S2,-0.24708269324558735,0.0022935779816513763,PASSED
2018-03-03 16:32:58+00:00,S2,-0.20092029458621113,0.0,PASSED
2018-03-08 16:33:03+00:00,S2,-0.17632065411770642,0.0,PASSED
2018-03-13 16:32:59+00:00,S2,-0.2982640085114309,0.0,PASSED
2018-03-18 16:33:04+00:00,S2,-0.22102980245321607,0.0,PASSED
2018-03-23 16:33:02+00:00,S2,-0.22593208813083,0.0,PASSED
2018-03-28 16:33:06+00:00,S2,-0.20629776493313823,0.0,PASSED
2018-04-02 16:33:52+00:00,S2,-0.2724612917843343,0.0,PASSED
2018-04-07 16:33:08+00:00,S2,-0.2414067244092911,0.0,PASSED
2018-04-08 16:15:31+00:00,L8,-0.19226398786757595,0.0,5.086
2018-04-12 16:33:05+00:00,S2,-0.2629813661191154,0.029689092762487258,PASSED
2018-04-17 16:33:56+00:00,S2,-0.30290775323581726,0.0,PASSED
2018-04-22 16:33:06+00:00,S2,-0.273825994728274,0.0,PASSED
2018-04-27 16:33:09+00:00,S2,-0.2770081236083322,0.0,PASSED
2018-05-02 16:33:38+00:00,S2,-0.30841457469031197,0.0,PASSED
2018-05-10 16:15:12+00:00,L8,-0.3056687589861231,0.0,6.179
2018-05-12 16:33:06+00:00,S2,-0.30952759828234155,0.0,PASSED
2018-05-17 16:33:10+00:00,S2,-0.1535978612817644,0.30746687054026506,PASSED
2018-05-27 16:33:57+00:00,S2,-0.3600581403326308,0.0,PASSED
2018-06-01 16:33:04+00:00,S2,-0.3463633983835599,0.0,PASSED
2018-07-13 16:15:18+00:00,L8,-0.2558759293108144,0.0,5.581
2018-10-04 16:33:04+00:00,S2,-0.18095245277927993,0.011276758409785932,PASSED
2018-10-29 16:33:05+00:00,S2,-0.18036796366732358,0.0,PASSED
2018-12-08 16:33:50+00:00,S2,-0.259875153414199,0.0,PASSED
2019-01-12 16:33:51+00:00,S2,-0.3039604997974019,0.0,PASSED
2019-01-22 16:33:52+00:00,S2,-0.3201110526660136,0.0111493374108053,PASSED
2019-02-06 16:15:54+00:00,L8,-0.1870350729093239,0.0,6.071
2019-02-06 16:33:56+00:00,S2,-0.1937537127368236,0.0,PASSED
2019-02-11 16:33:52+00:00,S2,-0.20614319360556718,0.0,PASSED
2019-02-16 16:33:55+00:00,S2,-0.3412015232668957,0.0,PASSED
2019-02-21 16:33:51+00:00,S2,-0.3096830454961008,0.0,PASSED
2019-02-22 16:15:51+00:00,L8,-0.21009574001326695,0.0,6.841
2019-03-03 16:33:50+00:00,S2,-0.22596497241439367,0.00382262996941896,PASSED
2019-03-08 16:33:53+00:00,S2,-0.14967629897348042,0.020960754332313966,PASSED
2019-03-13 16:33:51+00:00,S2,-0.1773226852761292,0.008728338430173293,PASSED
2019-03-26 16:15:42+00:00,L8,-0.20892481557308842,0.0,4.916
2019-03-28 16:33:57+00:00,S2,-0.20622766793635827,0.0,PASSED
2019-04-02 16:33:56+00:00,S2,-0.26399710397433396,0.0,PASSED
2019-04-07 16:33:59+00:00,S2,-0.3203013948383792,0.0,PASSED
2019-04-12 16:33:57+00:00,S2,-0.2721095422293495,0.0,PASSED
2019-04-17 16:34:01+00:00,S2,-0.31086566687399986,0.004204892966360856,PASSED
2019-04-22 16:33:59+00:00,S2,-0.27955228206147326,0.0,PASSED
2019-04-27 16:15:32+00:00,L8,-0.20844337932598078,0.0,6.485
2019-04-27 16:34:03+00:00,S2,-0.1777415466307864,0.19004841997961264,PASSED
2019-05-02 16:33:59+00:00,S2,-0.28372647530359474,0.0,PASSED
2019-05-12 16:33:59+00:00,S2,-0.319888319488456,0.0,PASSED
2019-05-17 16:34:04+00:00,S2,-0.32170121082609193,0.0,PASSED
2019-06-11 16:33:58+00:00,S2,-0.33019176377315185,0.11365953109072376,PASSED
2019-06-26 16:34:04+00:00,S2,-0.35983583864499336,0.0,PASSED
2019-08-17 16:16:17+00:00,L8,-0.2469020695579351,0.0,5.505
2019-10-20 16:16:32+00:00,L8,-0.16010293224365965,0.0,4.466
2019-11-23 16:33:52+00:00,S2,-0.20110754261912256,0.0040137614678899085,PASSED
2019-12-13 16:33:50+00:00,S2,-0.2706940848683903,0.0,PASSED
2020-02-01 16:33:48+00:00,S2,-0.29553687797574457,0.0,PASSED
2020-02-11 16:33:50+00:00,S2,-0.26411657797428123,0.05536442405708461,PASSED
2020-02-16 16:33:49+00:00,S2,-0.263627024400175,0.02949796126401631,PASSED
2020-02-25 16:16:07+00:00,L8,-0.19495281692584537,0.0,6.151
2020-02-26 16:33:51+00:00,S2,-0.2534748614949282,0.0,PASSED
2020-03-02 16:33:53+00:00,S2,-0.2573145554709196,0.0,PASSED
2020-03-07 16:33:51+00:00,S2,-0.3822018121384424,0.0,PASSED
2020-03-12 16:16:01+00:00,L8,-0.23835065668230715,0.0,6.158
2020-03-12 16:33:53+00:00,S2,-0.32479527699410937,0.0,PASSED
2020-03-17 16:33:52+00:00,S2,-0.2916416261440713,0.0,PASSED
2020-03-22 16:33:53+00:00,S2,-0.22429109161409053,0.0,PASSED
2020-03-27 16:33:52+00:00,S2,-0.4025320247729172,0.0,PASSED
2020-03-28 16:15:52+00:00,L8,-0.24590277048989378,0.0,5.185
2020-04-01 16:33:53+00:00,S2,-0.28532988769037215,0.0,PASSED
2020-04-06 16:33:53+00:00,S2,-0.26739683438976736,0.0,PASSED
2020-04-21 16:33:50+00:00,S2,-0.255909775729231,0.0,PASSED
2020-05-16 16:34:01+00:00,S2,-0.3354795411728425,0.0,PASSED
2020-05-26 16:34:01+00:00,S2,-0.3336985524127453,0.0,PASSED
2020-05-31 16:15:38+00:00,L8,-0.33525602857216386,0.040498899486427,5.745
2020-05-31 16:33:57+00:00,S2,-0.3191606828084363,0.0,PASSED
2020-06-05 16:34:02+00:00,S2,-0.3515593036080772,0.0,PASSED
2020-06-15 16:34:02+00:00,S2,-0.42146126181971716,0.0,PASSED
2020-06-25 16:34:01+00:00,S2,-0.34539969440956747,0.0,PASSED
2020-08-24 16:34:01+00:00,S2,-0.29570755900470663,0.0,PASSED
2020-09-03 16:34:00+00:00,S2,-0.2503868201106195,0.0,PASSED
2020-09-04 16:16:19+00:00,L8,-0.2611292940203471,0.0,5.747
2020-09-23 16:34:01+00:00,S2,-0.18124373367809107,0.17539500509683995,PASSED
2020-10-06 16:16:28+00:00,L8,-0.2004444707078865,0.0,4.525
2020-10-13 16:34:01+00:00,S2,-0.16533433231997605,0.0,PASSED
2020-11-07 16:16:26+00:00,L8,-0.17852856149808197,0.0,4.643
2020-11-07 16:33:57+00:00,S2,-0.2148433296594313,0.01293323139653415,PASSED
2020-11-17 16:33:56+00:00,S2,-0.24907955865713233,0.0,PASSED
2020-11-22 16:33:57+00:00,S2,-0.237633499335268,0.0,PASSED
2020-12-02 16:33:55+00:00,S2,-0.26647905552531104,0.058741080530071356,PASSED
2020-12-27 16:33:53+00:00,S2,-0.3208478971626837,0.08537206931702344,PASSED
2021-01-01 16:33:56+00:00,S2,-0.3068750304196186,0.0,PASSED
2021-01-06 16:33:54+00:00,S2,-0.2851820610246173,0.0,PASSED
2021-01-10 16:16:21+00:00,L8,-0.18027899445263557,0.0,6.04
2021-01-11 16:33:56+00:00,S2,-0.28131475094614206,0.0,PASSED
2021-01-26 16:16:17+00:00,L8,-0.1967385110138886,0.30931768158473955,8.526
2021-01-26 16:33:55+00:00,S2,-0.19684042889963602,0.23642966360856268,PASSED
2021-01-31 16:33:55+00:00,S2,-0.25993004522376056,0.0,PASSED
2021-02-15 16:33:53+00:00,S2,-0.3219616296109727,0.005988786952089704,PASSED
2021-02-25 16:33:54+00:00,S2,-0.2848786202737255,0.0,PASSED
2021-03-15 16:15:59+00:00,L8,-0.2576377518727756,0.0,6.812
2021-03-17 16:33:55+00:00,S2,-0.27371250879633957,0.0,PASSED
2021-03-27 16:33:54+00:00,S2,-0.3563040043086657,0.0,PASSED
2021-03-31 16:15:55+00:00,L8,-0.24051500740892146,0.0,5.15
2021-04-01 16:33:53+00:00,S2,-0.316745891147293,0.0,PASSED
2021-04-06 16:33:53+00:00,S2,-0.28724640572383675,0.0,PASSED
2021-04-16 16:15:49+00:00,L8,-0.23615174911149442,0.0,6.777
2021-05-01 16:33:53+00:00,S2,-0.28977506245792983,0.0,PASSED
2021-05-02 16:15:40+00:00,L8,-0.2931900816274359,0.0,6.034
2021-08-04 16:33:57+00:00,S2,-0.2929693355044905,0.0,PASSED
2021-09-03 16:33:52+00:00,S2,-0.27983558169248923,0.012232415902140673,PASSED
2021-09-23 16:33:53+00:00,S2,-0.22232708731509104,0.3483690112130479,PASSED
2021-11-22 16:15:56+00:00,L9,-0.29918428261715746,0.0,5.384
2021-11-22 16:33:52+00:00,S2,-0.31191993617131736,0.0,PASSED
2021-12-20 16:16:25+00:00,L9,-0.2947188157726604,0.0,5.659
2021-12-28 16:16:24+00:00,L8,-0.24172133407855909,0.022890682318415262,4.225
2022-01-11 16:33:51+00:00,S2,-0.31762245452098903,0.0,PASSED
2022-02-05 16:33:55+00:00,S2,-0.31041199989456325,0.0,PASSED
2022-02-06 16:16:24+00:00,L9,-0.22475801725074165,0.0,6.035
2022-02-14 16:16:13+00:00,L8,-0.19669482272035346,0.0,6.164
2022-02-15 16:33:56+00:00,S2,-0.3291329742076834,0.0,PASSED
2022-02-22 16:16:15+00:00,L9,-0.24281980393410746,0.0,6.306
2022-02-25 16:33:55+00:00,S2,-0.28729404894215316,0.0,PASSED
2022-03-02 16:16:09+00:00,L8,-0.21539135303182289,0.0,6.185
2022-03-02 16:33:52+00:00,S2,-0.35807816236203094,0.007454128440366973,PASSED
2022-03-10 16:16:10+00:00,L9,-0.29384648877394703,0.0,5.509
2022-03-17 16:33:59+00:00,S2,-0.2956272513497564,0.03363914373088685,PASSED
2022-03-18 16:16:02+00:00,L8,-0.28872953780837907,0.0,6.452
2022-03-22 16:33:53+00:00,S2,-0.2995706856811422,0.0,PASSED
2022-04-01 16:33:52+00:00,S2,-0.30691718635363174,0.202217125382263,PASSED
2022-04-06 16:33:56+00:00,S2,-0.2877946556248154,0.0,PASSED
2022-04-16 16:33:59+00:00,S2,-0.2609210489155051,0.0,PASSED
2022-04-19 16:15:58+00:00,L8,-0.2582108157406538,0.0,7.242
2022-04-27 16:15:53+00:00,L9,-0.24299888519485824,0.0,6.425
2022-05-05 16:15:59+00:00,L8,-0.2635459645578726,0.0,5.724
2022-05-21 16:16:05+00:00,L8,-0.27377216983293806,0.0,6.191
2022-05-21 16:33:55+00:00,S2,-0.32212044626782704,0.0,PASSED
2022-10-18 16:33:55+00:00,S2,-0.19075113237324615,0.0,PASSED
2022-11-07 16:33:54+00:00,S2,-0.2768024541145784,0.0,PASSED
2022-11-22 16:33:55+00:00,S2,-0.24027409325341137,0.191131498470948,PASSED
2023-01-08 16:16:35+00:00,L9,-0.2501503188027481,0.0,6.607
2023-01-11 16:33:53+00:00,S2,-0.3474000959513885,0.0,PASSED
2023-01-21 16:33:51+00:00,S2,-0.3008841286461317,0.0,PASSED
2023-01-26 16:33:53+00:00,S2,-0.3399809907020076,0.00382262996941896,PASSED
2023-02-05 16:33:53+00:00,S2,-0.265124782526141,0.0,PASSED
2023-02-09 16:16:39+00:00,L9,-0.25021865468595733,0.0,6.317
2023-02-10 16:33:54+00:00,S2,-0.27485271961717667,0.0,PASSED
2023-02-15 16:33:54+00:00,S2,-0.34672341417910457,0.06148063200815494,PASSED
2023-02-17 16:16:22+00:00,L8,-0.29520008722473545,0.0,5.497
2023-02-25 16:16:24+00:00,L9,-0.21276493003554017,0.0,4.484
2023-02-25 16:33:56+00:00,S2,-0.2249701692369746,0.0,PASSED
2023-03-02 16:33:52+00:00,S2,-0.2521790999006325,0.0,PASSED
2023-03-12 16:33:52+00:00,S2,-0.3021402734760439,0.0,PASSED
2023-03-13 16:16:17+00:00,L9,-0.22513416008903364,0.0,5.236
2023-03-17 16:33:59+00:00,S2,-0.2779608941823442,0.0,PASSED
2023-03-21 16:16:01+00:00,L8,-0.2084202011365716,0.0,6.395
2023-03-22 16:33:54+00:00,S2,-0.23643146873443255,0.0,PASSED
2023-04-01 16:33:54+00:00,S2,-0.2533525134392048,0.0,PASSED
2023-04-11 16:33:56+00:00,S2,-0.2752579369629064,0.0,PASSED
