,dates,satname,B6,C2,C1,B4,B5,A1,A2,B1,B2,B3
168,2019-04-17 16:34:01+00:00,S2,485.4699475329706,,455.51997413661815,514.4815098657525,502.73840657468935,569.7862244025023,556.9776737727032,537.9083658287929,520.4087337330699,511.4975833577252
169,2019-04-22 16:33:59+00:00,S2,501.66760894080096,418.22059195488805,455.57110998531766,535.157810242097,531.6602128195126,569.3439910968175,560.5119700101815,557.5292733321231,539.6657840923682,526.3934900694414
170,2019-04-27 16:15:32+00:00,L8,471.9500050451033,396.51984851021314,443.44130911635096,511.9054383616455,498.8711899987124,556.1048132668299,553.6577497757278,524.7691135559163,509.9023627016951,504.1057826576043
171,2019-04-27 16:34:03+00:00,S2,,,,,,,,,,
172,2019-05-02 16:33:59+00:00,S2,480.2585075774943,411.48075930087737,451.1421249307183,514.4766400498182,511.8671932936066,569.787381519016,555.8124025935019,533.6868124894687,514.067908591378,510.6574251312733
173,2019-05-12 16:33:59+00:00,S2,464.77800233540125,397.6495615589749,443.4245834283211,501.0158800858846,491.5109990698702,558.4059740767798,550.7207073222642,520.4238632145837,512.1239311298082,497.09642612247353
174,2019-05-17 16:34:04+00:00,S2,501.9543488579555,411.4582643599007,450.2919377190177,506.82240849140754,504.060739866105,575.1477029856018,556.8998154680781,522.7206898805881,511.6972282045491,505.00551679863406
175,2019-06-11 16:33:58+00:00,S2,475.0325148571852,426.25878611269036,434.0711045187276,982.9450733131953,999.2096038088588,,,778.8939453465593,,952.4542511984458
176,2019-06-26 16:34:04+00:00,S2,486.56598486921007,409.0000383366608,442.0406868610057,502.89183464868495,493.4493650410737,567.13952808234,543.2525363169287,517.3825622197484,503.18319551702274,506.4365815017798
177,2019-08-17 16:16:17+00:00,L8,468.6400744618119,431.27083686936476,448.0440609697773,513.6231399705193,499.5714888261239,587.7208855979086,570.5646114039052,529.479119526193,506.5641611442458,509.0289725981098
178,2019-10-20 16:16:32+00:00,L8,451.18626400918663,420.03452049434196,432.2911062431827,491.75370237586657,482.5732301189438,564.9084786916492,548.9064814147144,528.0060631712812,502.2723985952585,494.24824197005483
179,2019-11-23 16:33:52+00:00,S2,994.9747660924497,403.09437313521425,427.24203111759016,365.55029631164825,398.0534626116,568.6668767174484,565.6465084531253,536.1407920622669,516.5467380771103,505.48643702223933
180,2019-12-13 16:33:50+00:00,S2,489.3872777490531,442.93501414800187,463.194927039113,540.209009071571,532.3803588249605,582.5339040583344,596.5795837575575,580.7609045565239,559.1634065197153,538.3962553667118
181,2020-02-01 16:33:48+00:00,S2,477.0206753659484,420.6907849982832,448.0648807829223,514.4962078892653,505.42900727424905,584.2796297282417,580.2171875102579,546.365113820451,525.0141868625998,512.0625601397271
182,2020-02-11 16:33:50+00:00,S2,,,,,,619.9995439884058,,,,
183,2020-02-16 16:33:49+00:00,S2,465.0942264261648,,445.91486459372857,509.6489369785161,495.5996946144248,575.9700506214017,,,,498.5115884932934
