date,Hs_max,Tp,MeanDir
2000-08-11,2.2805176,14.7020035,202.2391
2000-08-12,2.0898438,13.463234,198.09769
2000-08-13,2.303833,15.841164,205.82314
2000-08-14,2.6034927,15.591652,205.05621
2000-08-15,2.5444336,14.885109,197.02129
2000-08-16,2.3330078,15.844093,195.43996
2000-08-17,2.3167725,15.6605,195.41261
2000-08-18,1.9088135,14.401222,193.48648
2000-08-19,1.5814209,13.053078,183.53311
2000-08-20,1.6628418,13.260597,193.16435
2000-08-21,1.9813232,16.31382,196.89452
2000-08-22,2.0633545,14.943703,195.57932
2000-08-23,1.9979248,14.277199,195.25192
2000-08-24,2.0214844,12.583351,177.59029
2000-08-25,2.0959473,12.709328,177.14589
2000-08-26,2.076416,12.782082,178.38985
2000-08-27,1.9816942,12.005714,175.35954
2000-08-28,1.7720947,8.413429,172.13853
2000-08-31,1.6859131,17.593605,175.65298
2000-09-01,1.8909912,15.666359,189.83774
2000-09-02,2.1138544,17.354836,195.58192
2000-09-03,2.2508535,16.392921,194.62593
2000-09-04,2.3465576,14.725441,185.36948
2000-09-05,2.4003525,14.7176285,184.19626
2000-09-06,2.3249512,14.840675,183.12694
2000-09-07,2.0811768,13.666359,178.60265
2000-09-08,1.7270508,12.76548,171.66452
2000-09-09,1.4846191,12.201515,178.65738
2000-09-10,1.4869785,11.651222,177.68027
2000-09-11,1.4855957,7.433449,170.3534
2000-09-12,1.7316895,14.851906,174.91536
2000-09-13,1.907959,13.514015,183.53542
2000-09-14,1.9938965,12.759132,188.87256
2000-09-15,2.1000977,13.288918,189.20341
2000-09-16,2.105835,13.121925,183.61171
2000-09-17,1.8601885,12.0735855,178.27428
2000-09-18,1.6533203,11.246437,176.72758
2000-09-19,1.4611645,11.3113785,176.22012
2000-09-20,1.6525879,7.380226,170.3053
2000-09-21,1.6495581,7.8406754,172.38196
2000-09-22,1.8007812,8.736671,170.2563
2000-09-23,1.8688965,10.352882,172.54881
2000-09-24,1.9785156,10.715187,172.35478
2000-09-25,1.8078613,10.07798,170.76949
2000-09-26,1.5911865,8.7855,172.52296
2000-09-27,1.697998,17.871437,189.48761
2000-09-28,1.7273502,17.264015,191.03912
2000-09-29,1.6454601,14.611183,193.8227
2000-09-30,1.6916504,14.019386,201.55
2000-10-01,1.7341309,13.61216,200.55763
2000-10-02,1.6071777,12.890968,198.04922
2000-10-03,1.9438477,13.414894,196.7511
2000-10-04,2.0815783,17.35923,194.3171
