peak_datetime,Hs_offshore (m),Tp (s),Dir (deg),Hs_nearshore (m),R2_A1,R2_A2,R2_B1,R2_B2,R2_B3,R2_B4,R2_B5,R2_B6,R2_C1,R2_C2,setup_A1,setup_A2,setup_B1,setup_B2,setup_B3,setup_B4,setup_B5,setup_B6,setup_C1,setup_C2,S_total_A1,S_total_A2,S_total_B1,S_total_B2,S_total_B3,S_total_B4,S_total_B5,S_total_B6,S_total_C1,S_total_C2
1990-02-10 23:00:00,1.92529296875,13.510597229003906,227.2051544189453,0.7711737420790625,0.9296812,0.84142166,0.79911506,0.84142166,0.84142166,0.79911506,0.7581464,0.84142166,1.0222093,0.79911506,0.2853816,0.23349403,0.20755026,0.23349403,0.23349403,0.20755026,0.18160647,0.23349403,0.33726916,0.20755026,1.0794367,1.0205668,0.9944925,1.0205668,1.0205668,0.9944925,0.9709043,1.0205668,1.1460959,0.9944925
1990-02-11 18:00:00,1.9576416015625,13.271827697753906,236.87803649902344,0.5861395861515172,0.79618615,0.72060007,0.6843684,0.72060007,0.72060007,0.6843684,0.64928246,0.72060007,0.8754279,0.6843684,0.24440302,0.1999661,0.17774765,0.1999661,0.1999661,0.17774765,0.15552919,0.1999661,0.28883994,0.17774765,0.92443794,0.87402135,0.85169107,0.87402135,0.87402135,0.85169107,0.83149,0.87402135,0.9815254,0.85169107
1990-02-12 00:00:00,1.9385986328125,13.251808166503906,238.48635864257812,0.5811704121758203,0.79160815,0.71645665,0.6804333,0.71645665,0.71645665,0.6804333,0.6455491,0.71645665,0.8703943,0.6804333,0.24299772,0.19881631,0.17672561,0.19881631,0.19881631,0.17672561,0.15463491,0.19881631,0.2871791,0.17672561,0.9191225,0.8689958,0.8467939,0.8689958,0.8689958,0.8467939,0.826709,0.8689958,0.97588176,0.8467939
1990-02-13 23:00:00,1.8426513671875,14.581886291503906,222.07167053222656,0.9948089585160896,1.139638,1.0314462,0.9795852,1.0314462,1.0314462,0.9795852,0.92936426,1.0314462,1.2530624,0.9795852,0.34983146,0.28622574,0.25442287,0.28622574,0.28622574,0.25442287,0.22262001,0.28622574,0.41343716,0.25442287,1.3232139,1.251049,1.219086,1.251049,1.251049,1.219086,1.1901709,1.251049,1.4049273,1.219086
1990-02-14 03:00:00,1.84716796875,14.520851135253906,221.53370666503906,1.0187973707964852,1.1484692,1.0394391,0.9871761,1.0394391,1.0394391,0.9871761,0.936566,1.0394391,1.2627724,0.9871761,0.35254234,0.28844374,0.25639442,0.28844374,0.28844374,0.25639442,0.22434513,0.28844374,0.41664094,0.25639442,1.3334677,1.2607436,1.2285329,1.2607436,1.2607436,1.2285329,1.1993936,1.2607436,1.4158143,1.2285329
1990-02-15 00:00:00,1.8116455078125,13.847023010253906,224.18775939941406,0.8594667448976901,1.0058988,0.91040367,0.8646286,0.91040367,0.91040367,0.8646286,0.82030123,0.91040367,1.1060126,0.8646286,0.30877793,0.2526365,0.22456577,0.2526365,0.2526365,0.22456577,0.19649504,0.2526365,0.36491936,0.22456577,1.1679318,1.1042355,1.0760236,1.1042355,1.1042355,1.0760236,1.0505016,1.1042355,1.2400559,1.0760236
1990-02-16 22:00:00,1.7060546875,13.869483947753906,208.92330932617188,1.2844595134928263,1.231697,1.1147655,1.0587152,1.1147655,1.1147655,1.0587152,1.0044376,1.1147655,1.3542837,1.0587152,0.37809053,0.3093468,0.27497494,0.3093468,0.3093468,0.27497494,0.24060307,0.3093468,0.44683427,0.27497494,1.430102,1.3521078,1.3175628,1.3521078,1.3521078,1.3175628,1.2863119,1.3521078,1.5184162,1.3175628
1990-02-17 00:00:00,1.70458984375,13.809669494628906,208.71945190429688,1.2816217224772661,1.2250296,1.1087312,1.0529842,1.1087312,1.1087312,1.0529842,0.9990003,1.1087312,1.3469527,1.0529842,0.3760439,0.30767226,0.27348647,0.30767226,0.30767226,0.27348647,0.23930065,0.30767226,0.44441548,0.27348647,1.4223607,1.3447886,1.3104306,1.3447886,1.3447886,1.3104306,1.2793489,1.3447886,1.5101967,1.3104306
1990-02-18 00:00:00,1.641209602355957,13.219337463378906,206.5041961669922,1.2119764851055812,1.1403552,1.0320953,0.98020166,1.0320953,1.0320953,0.98020166,0.92994916,1.0320953,1.2538509,0.98020166,0.3500516,0.28640586,0.254583,0.28640586,0.28640586,0.254583,0.22276013,0.28640586,0.41369736,0.254583,1.3240467,1.2518364,1.2198533,1.2518364,1.2518364,1.2198533,1.1909199,1.2518364,1.4058115,1.2198533
1990-02-19 00:00:00,1.4918212890625,12.508644104003906,204.9700927734375,1.0738178587141924,1.0156847,0.91926044,0.87304014,0.91926044,0.91926044,0.87304014,0.8282815,0.91926044,1.1167724,0.87304014,0.31178185,0.25509426,0.22675045,0.25509426,0.25509426,0.22675045,0.19840664,0.25509426,0.36846948,0.22675045,1.1792939,1.1149781,1.0864916,1.1149781,1.1149781,1.0864916,1.0607213,1.1149781,1.2521197,1.0864916
